Utc,Bsp,Awa,Aws,Twa,Tws,Twd,Rudder2,Leeway,Set,Drift,Hdg,AirTmp,SeaTmp,Baro,Depth,Heel,Trim,Rudder,Tab,Forestay,Downhaul,MastAng,FrstyLen,MastButt,StbJmpr,PrtJmpr,Rake,Volts,ROT,GpsQual,PDOP,GpsNum,GpsAge,GpsGeoHt,GpsAntHt,GpsPosFx,Lat,Lon,Cog,Sog
38053.00002,5.19,-29,8.16,-66,4.39,337.3,,,79.2,0.21,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.7,4.85
38053.00003,,,,,4.89,342.4,,,68.1,0.24,43,,,,17.21,,,,,,,,,,,,,,,,,25,,,,,-36.731609,174.904436,,
38053.00005,,-29,8.74,-62,4.87,,,,,,,,,,17.29,,,,,,,,,,,,,,,,,,,,,,,,,
38053.00007,5.22,-29,8.35,,4.85,340.8,,,63,0.23,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.3,4.92
38053.00008,,,,,,,,,,,44,,,,17.34,,,,,,,,,,,,,,,,,16,,,,,-36.731562,174.904546,,
38053.0001,5.29,-29,8.74,-67,4.45,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,4.9
38053.00011,5.35,,,,4.78,341.8,,,58.6,0.3,45,,,,,,,,,,,,,,,,,,,,,25,,,,,-36.731541,174.904606,,
38053.00013,,,,,,,,,,,,,,,17.39,,,,,,,,,,,,,,,,,1,,,,,-36.73153,174.904642,,
38053.00015,5.33,-29,8.94,-63,4.89,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.7,5.05
38053.00016,5.4,,,,4.45,337.6,,,75.8,0.23,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.4,5.02
38053.00018,,,,,,,,,,,45,,,,17.53,,,,,,,,,,,,,,,,,25,,,,,-36.731479,174.904778,,
38053.00019,5.45,-29,8.16,-68,4.27,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.5,5.05
38053.00021,5.43,,,,4.72,342.8,,,68.5,0.19,46,,,,,,,,,,,,,,,,,,,,,1,,,,,-36.731457,174.904859,,
38053.00022,,,,-63,4.76,,,,,,,,,,17.32,,,,,,,,,,,,,,,,,,,,,,-36.731448,174.904888,,
38053.00024,5.43,-29,8.94,-64,4.84,342.4,,,91.4,0.16,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,5.02
38053.00026,5.45,,,,4.85,342.7,,,79.3,0.21,46,,,,,,,,,,,,,,,,,,,,,25,,,,,-36.731425,174.904973,,
38053.00027,,,,,,,,,,,,,,,17.43,,,,,,,,,,,,,,,,,1,,,,,-36.731414,174.905006,,
38053.00029,5.43,-29,8.74,-62,4.84,,,,59.9,0.21,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.6,5.15
38053.00031,,,,,4.43,340.8,,,88.1,0.15,48,,,,9.53,,,,,,,,,,,,,,,,,16,,,,,-36.731392,174.905071,,
38053.00032,,,,-65,4.7,,,,,,,,,,1.37,,,,,,,,,,,,,,,,,25,,,,,-36.731382,174.905138,,
38053.00034,5.44,-29,8.74,-62,4.82,345.3,,,122.1,0.28,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.8,5.03
38053.00035,,,,,,,,,,,47,,,,17.36,,,,,,,,,,,,,,,,,1,,,,,-36.731362,174.905199,,
