Utc,Bsp,Awa,Aws,Twa,Tws,Twd,Rudder2,Leeway,Set,Drift,Hdg,AirTmp,SeaTmp,Baro,Depth,Heel,Trim,Rudder,Tab,Forestay,Downhaul,MastAng,FrstyLen,MastButt,StbJmpr,PrtJmpr,Rake,Volts,ROT,GpsQual,PDOP,GpsNum,GpsAge,GpsGeoHt,GpsAntHt,GpsPosFx,Lat,Lon,Cog,Sog
38249.70139,0.67,-62,,,,,,,,,317,,,,,,,,,,,,,,,,,,,,,,,,,,37.806633,-122.445967,,
38249.7014,0.92,-63,11.4,-159.9,11.5,249,,25.9,229,51.81,318,,16,,1.8,1.1,,-7,,,,,,,,,,12.75,,,,,,,,,37.806633,-122.445967,145.8,0
38249.70141,1.07,-64,,,,,,,,,319,,,,,,,,,,,,,,,,,,,,,,,,,,37.806633,-122.445967,,
38249.70142,1.23,-65,11.6,-100.9,11.4,247,,5,229,49.9,319,,16,,1.92,1.1,,,,,,,,,,,,12.89,,,,,,,,,37.806633,-122.44595,145.8,0
38249.70144,1.56,-66,,,,,,,,,320,,,977,,,,-8,,,,,,,,,,,,,,,,,,,37.806617,-122.44595,,
38249.70145,1.62,-66,11.2,,11.2,,,,229,48.1,320,,,,1.98,1.1,,,,,,,,,,,,13,,,,,,,,,37.806617,-122.44595,145.8,0.9
38249.70146,1.66,,,-81,,246,,3.5,,,,,16,1070,,,,-16,,,,,,,,,,,,,,,,,,,37.8066,-122.445933,,
38249.70147,1.74,-66,,,,,,,229,46.35,319,,,,2.04,1,,,,,,,,,,,,13.09,,,,,,,,,37.8066,-122.445933,145.8,1
38249.70148,,-66,,-79.5,,246,,3,,,,,16,996,,,,-11,,,,,,,,,,,,,,,,,,,,,,
38249.70149,1.75,-67,,,,,,,,,318,,,,,,,,,,,,,,,,,,,,,,,,,,37.806583,-122.445917,,
38249.70151,1.76,-66,11.5,-78,11,245,,2.7,228,44.65,318,,16,1084,2.1,1,,-7,,,,,,,,,,13.17,,,,,,,,,,,,1.3
38249.70152,1.87,-66,,,,,,,,,317,,,,,,,,,,,,,,,,,,,,,,,,,,37.806567,-122.445917,,
38249.70153,1.88,-67,11.2,-77.7,11,245,,2.3,228,42.99,317,,16,,2.13,1,,4,,,,,,,,,,13.24,,,,,,,,,37.806567,-122.4459,131.8,1.4
38249.70154,1.98,-68,,,,,,,,,318,,,1032,,,,,,,,,,,,,,,,,,,,,,,37.806567,-122.4459,,
38249.70155,2.03,,10.7,,10.6,,,,228,41.39,319,,,,2.13,1,,,,,,,,,,,,13.29,,,,,,,,,37.80655,-122.4459,133.8,1.6
38249.70156,1.99,-68,,-82.3,,241,,2.1,,,,42.17,16,1094,,,,3,,,,,,,,,,,,,,,,,,,37.806533,-122.4459,,
38249.70157,1.96,-71,,,,,,,,,322,,,,,,,,,,,,,,,,,,,,,,,,,,37.806533,-122.4459,,
38249.70159,1.94,-74,10.4,-85.1,10.5,241,,2,228,39.42,325,19.78,16,1038,2.04,0.9,,5,,,,,,,,,,13.37,,,,,,,,,,,138.8,1.7
38249.7016,1.72,-75,,,,,,,,,326,,,,,,,,,,,,,,,,,,,,,,,,,,37.806517,-122.4459,,
38249.70161,1.55,-79,10.3,-89,10.4,242,,3,228,38.42,329,4.83,16,991,2.04,1,,16,,,,,,,,,,13.4,,,,,,,,,,,,
38249.70162,1.38,-82,,,,,,,,,335,,,,,,,,,,,,,,,,,,,,,,,,,,37.8065,-122.4459,148.8,1.9
38249.70163,1.34,-83,10.5,-92,10.4,244,,4.9,228,37.17,337,46.83,16,1080,2.04,1.1,,6,,,,,,,,,,13.41,,,,,,,,,37.8065,-122.4459,,
38249.70164,1.29,-88,,,,,,,,,341,,,,,,,,,,,,,,,,,,,,,,,,,,37.806483,-122.4459,,
38249.70166,1.2,-90,10.9,-96.9,10.6,246,,6.8,228,35.86,345,,16,,2.07,1.1,,6,,,,,,,,,,13.39,,,,,,,,,37.806483,-122.4459,155.8,2
38249.70167,1.1,-93,,,,,,,,,349,,,1028,,,,,,,,,,,,,,,,,,,,,,,37.806467,-122.4459,,
38249.70168,1.06,,10.9,,10.6,,,,227,34.53,350,,,,1.98,1.2,,,,,,,,,,,,13.35,,,,,,,,,37.806467,-122.4459,160.8,2
38249.70169,0.87,-96,,-102.8,,248,,6.8,,,355,1.61,16,964,,,,7,,,,,,,,,,,,,,,,,,,37.80645,-122.445917,,
38249.7017,0.76,,10.8,,10.7,,,,227,33.32,358,,,,2.01,1.2,,,,,,,,,,,,13.33,,,,,,,,,37.80645,-122.445917,165.8,2
38249.70171,0.64,-100,,-104.8,,250,,19.1,,,,45.39,16,932,,,,15,,,,,,,,,,,,,,,,,,,37.806433,-122.445933,,
38249.70173,0.56,-106,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,37.806433,-122.445933,178.8,
38249.70174,0.49,-108,10.9,-125.1,10.8,251,,29.3,227,31.87,6,21.94,16,,1.98,1.2,,13,,,,,,,,,,13.27,,,,,,,,,,,,1.9
38249.70175,0.41,-114,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,37.8064,-122.44595,,
