Utc,Bsp,Awa,Aws,Twa,Tws,Twd,Rudder2,Leeway,iSet,iDrift,Hdg,AirTmp,SeaTmp,Baro,Depth,Heel,Trim,Rudder,Tab,Forestay,Downhaul,MastAng,FrstyLen,MastButt,StbJmpr,PrtJmpr,Rake,Volts,ROT,GpsQual,PDOP,GpsNum,GpsAge,GpsGeoHt,GpsAntHt,GpsPosFx,Lat,Lon,Cog,Sog
38516.38857,3.156,-3.3,11.39,-4.4,8.28,143,,-0.92,199.6,0.074,146.9,,,,17.95,-0.5,,,,,,,,,,,,,,,,,,,,,39.400246,-0.299097,148.2,3.4
38516.38858,3.286,-3.4,11.39,-4.9,7.77,142.8,,-0.45,199.6,0.074,147.4,,,,17.95,0.3,,,,,,,,,,,,,,,,,,,,,39.400234,-0.299089,148.2,3.4
38516.38859,3.233,-3.7,10.99,-5.2,7.86,142.9,,-1.61,188.6,0.06,147.6,,,,17.95,-1.5,,,,,,,,,,,,,,,,,,,,,39.400215,-0.299078,147.7,3.5
38516.38861,3.118,-4.2,11.57,-5.6,8.46,142.8,,-1.39,188.6,0.06,147.7,,,,17.95,-1.3,,,,,,,,,,,,,,,,,,,,,39.400204,-0.299067,147.7,3.5
38516.38862,3.294,-4.3,11.32,-6.3,7.73,142.4,,-0.61,181.3,0.09,148.1,,,,17.77,-1,,,,,,,,,,,,,,,,,,,,,39.400192,-0.299056,146.6,3.5
38516.38863,3.342,-5.1,10.74,-7.1,7.43,141.8,,-0.66,181.3,0.09,149.2,,,,17.92,-0.3,,,,,,,,,,,,,,,,,,,,,39.400181,-0.299042,146.6,3.5
38516.38864,3.354,-5.9,11.03,-8.9,7.83,141.5,,-0.44,162.9,0.074,150.6,,,,17.92,-0.2,,,,,,,,,,,,,,,,,,,,,39.400166,-0.299036,145.5,3.5
38516.38865,3.419,-6.7,10.87,-9.6,7.39,141.5,,-0.74,162.9,0.074,151.7,,,,17.98,-1.1,,,,,,,,,,,,,,,,,,,,,39.400154,-0.299025,145.7,3.4
38516.38867,3.38,-7.9,10.73,-11.2,7.4,140.8,,-0.57,166.8,0.062,152.6,,,,17.98,-0.8,,,,,,,,,,,,,,,,,,,,,39.400139,-0.299017,145.7,3.4
38516.38868,3.402,-8.2,10.8,-12.1,7.3,141.3,,-0.26,166.8,0.062,154,,,,17.92,0.4,,,,,,,,,,,,,,,,,,,,,39.400124,-0.299006,146.2,3.5
38516.38869,3.401,-9.2,10.17,-13.4,6.83,141,,-0.73,168.8,0.072,155.6,,,,17.92,-1,,,,,,,,,,,,,,,,,,,,,39.400105,-0.298997,146.2,3.5
38516.3887,3.39,-10.8,10.71,-15.4,7.43,140.3,,-0.58,170.3,0.081,156,,,,17.95,-1.2,,,,,,,,,,,,,,,,,,,,,39.400089,-0.298992,150.1,3.5
38516.38871,3.55,-10.6,10.52,-15.9,7.05,140.3,,-0.7,170.3,0.081,156.1,,,,17.8,-0.7,,,,,,,,,,,,,,,,,,,,,39.400074,-0.298981,152,3.5
38516.38872,3.626,-10.4,10.5,-15.8,6.99,141,,-1.22,176.3,0.09,156.4,,,,17.95,-2.3,,,,,,,,,,,,,,,,,,,,,39.400059,-0.298975,154.2,3.6
38516.38874,3.618,-10.4,10.49,-15.8,6.97,141.2,,-1.12,176.3,0.09,156.5,,,,18.07,-1.6,,,,,,,,,,,,,,,,,,,,,39.400043,-0.298964,155.6,3.6
38516.38875,3.662,-10.5,10.69,-15.9,7.34,140.7,,-0.13,166.8,0.093,156,,,,18.07,-1.3,,,,,,,,,,,,,,,,,,,,,39.400024,-0.298956,156.1,3.6
